actor_principal,id
Brendan Fraser,13595
Kevin Bacon,46094
Richard Dreyfuss,9409
Madeleine Stowe,11853
Taylor Nichols,16771
Robin Williams,46924
Jim Varney,11041
Eddie Murphy,306
Alan Cumming,14522
Madeleine Stowe,26203
Jeff Bridges,178
Nick Nolte,19819
Jessica Lange,57834
Gabrielle Anwar,4722
Julian Sands,18215
Robert De Niro,1607
Chris Elliott,26391
Jason Priestley,117553
Al Pacino,6075
Billy Crystal,11310
Dana Carvey,18658
Sylvester Stallone,9350
Robert Knott,9612
Bruce Willis,2124
Chevy Chase,26261
Woody Harrelson,19176
Harvey Keitel,49299
Kevin Kline,11566
Jason London,9571
Sylvester Stallone,9739
Uma Thurman,34444
Armand Assante,26141
Leslie Cheung,10997
Harley Jane Kozak,50463
Jeff Bridges,10443
Larry B. Scott,20239
Joe Pesci,16297
Meg Ryan,18551
Mia Farrow,25440
Michael J. Fox,9024
Tom Cruise,37233
Jason James Richter,1634
Sean Nelson,13815
Harrison Ford,5503
Jason Patric,35588
Alec Baldwin,2087
Macaulay Culkin,41579
Guinevere Turner,18620
Colin Friels,41006
Rebecca De Mornay,4916
Jean-Claude Van Damme,2019
Tommy Lee Jones,31642
Charlie Sheen,9255
Dana Delany,26271
Hugh Grant,10612
Meryl Streep,2259
Bernie Mac,16097
Tim Robbins,11934
Nick Nolte,106143
Pauly Shore,12475
Clint Eastwood,9386
Daniel Day-Lewis,7984
Larenz Tate,59930
Angela Bassett,15765
Joe Pesci,31643
Emilio Estevez,6
Sam Neill,329
Brad Pitt,10909
Eric Stoltz,507
Jesse Bradford,34024
Tom Guiry,29918
Arnold Schwarzenegger,9593
Michael J. Fox,42580
Paul Hogan,22317
Jeremy Irons,1413
Whoopi Goldberg,12121
Alec Baldwin,2246
Mel Gibson,10502
Woody Allen,10440
Tyrin Turner,9516
Kurt Russell,2320
Eiko Matsuda,5879
Karen Sillas,83718
Kenneth Branagh,11971
Richard Gere,2625
Matt Dillon,31911
Robin Williams,788
David Thewlis,21450
Pat Morita,11231
Peter Weller,41588
Ray Liotta,10447
Elijah Wood,31586
Tilda Swinton,9300
Kevin Costner,9559
Tom Hanks,9800
Holly Hunter,713
Janet Jackson,8291
James Caan,18133
Donald Sutherland,25557
Brian Benben,22588
Denis Leary,10872
Anthony Hopkins,1245
Danny DeVito,11858
Sean Connery,7007
Anthony Hopkins,10467
Robert John Burke,5550
Cary Elwes,8005
Gary Oldman,2088
Russell Crowe,10412
Ashley Judd,47889
Sean Astin,14534
Danny Glover,56583
Cyril Collard,41878
Liam Neeson,424
Brendan Fraser,35233
Max Pomeranc,14291
William Hurt,103413
Kate Maberly,11236
Kathleen Turner,11592
Alec Baldwin,8850
Anthony Hopkins,10445
Julianne Moore,695
Steve Martin,43535
Hugh Grant,12519
Will Smith,23210
Tom Hanks,858
Sharon Stone,867
Harrison Ford,78
Pauly Shore,13203
Mike Myers,10442
Bruce Willis,11074
Nastassja Kinski,33367
Bob Hoskins,9607
Ice-T,17585
Charlie Sheen,9057
Josh Charles,10635
Danny Elfman,9479
Charlie Sheen,10057
Kurt Russell,11969
William Hurt,41590
Christian Slater,319
James Carville,26408
Macaulay Culkin,15139
Leslie Hope,161158
Martha Plimpton,218473
Anthony LaPaglia,85247
Heather Matarazzo,11446
Miou-Miou,51980
Tom Berenger,24405
Federico Luppi,11655
Eric Stoltz,11800
Verónica Forqué,8223
Kim Vithana,14587
Luke Edwards,31504
Stellan Skarsgård,41653
Julie Walters,53185
Robin Givens,95743
Paolo Villaggio,23637
Jeremy Davies,17600
Bug Hall,10897
Tina Majorino,21352
Claudio Amendola,68806
Jim Broadbent,37345
Lily Tomlin,32562
Vincent Cassel,47507
Nanni Moretti,25403
Shelley Long,9066
Macaulay Culkin,771
Patrick Swayze,251
Scott Weinger,812
Arnold Schwarzenegger,280
Kevin Costner,581
Roddy Piper,80350
Jack Nicholson,268
Jodie Foster,274
Adriana Caselotti,408
Mel Blanc,10895
Julia Roberts,114
Viktor Mikhaylov,41043
William Holden,576
Gil Bellows,15477
Gu Bao-Ming,59146
Matthew Modine,30528
Michelle Pfeiffer,7300
Tony Todd,10824
William H. Macy,275
Michael J. Fox,25059
Rodger Bumpass,11827
Bruce Ramsay,8766
David Schwimmer,23570
Anna Paquin,47333
Oliver Milburn,54850
Nino Manfredi,51242
Phil Harris,10112
Marisa Paredes,4307
Antonio Banderas,46029
Matt LeBlanc,32308
Donald Sutherland,88893
Daniel Auteuil,52873
Lisa Eichhorn,123505
Cameron Diaz,12520
Richard Gere,1592
Dennis Hopper,36447
Ernest Borgnine,19042
Ian Hart,38884
Tim Daly,47449
Whoopi Goldberg,36259
Robert Duvall,41852
Michael Gunther,40926
Steve Martin,9099
Richard E. Grant,2021
Theresa Randle,61752
Sharon Stone,10988
Patrick Timsit,11479
Emmanuelle Béart,12652
Denzel Washington,10684
Tom Cruise,954
Masatoshi Nagase,68445
Robin Wright,18989
Veronica Ferres,10801
Pang Eun-jin,54285
Dennis Quaid,8840
Whoopi Goldberg,11107
Leon Schuster,16417
Max Cullen,70934
Alain Delon,10363
Anthony Hopkins,161070
Mark Wahlberg,10543
Dave Foley,18414
Cher,47502
Johan Widerberg,27098
Daniel Bernhardt,25087
Kanu Bannerjee,5801
Soumitra Chatterjee,896
Michael J. Nelson,3065
Michael Jordan,2300
Jane Fonda,8069
Billy Bob Thornton,27768
Albert Finney,221917
Eddie Constantine,8072
Philippe Noiret,35797
Jim Jarmusch,88030
Talia Shire,83857
Eric Roberts,33245
Greta Scacchi,124460
Danny Glover,27281
Corinna Harfouch,105045
Shirley MacLaine,40001
Mario Van Peebles,29621
Tom Berenger,20762
Amanda Plummer,48260
Keanu Reeves,12656
Audie England,38867
Perry Anzilotti,25969
Jan Decleir,44103
Gena Rowlands,753
Winona Ryder,43634
Jean-Claude Van Damme,9103
Ben Mendelsohn,90214
Rhea Perlman,29649
Nick Nolte,10990
Uma Thurman,8866
Joey Lawrence,12233
Damon Wayans,23449
Elijah Wood,36355
Julia Ormond,37667
Jennifer Connelly,90148
Johnny Depp,922
Juliette Binoche,11876
Joanne Nail,52633
Javier Bardem,62364
Jean Reno,11687
Michael Keaton,9304
Maila Nurmi,73183
Francesco Sframeli,131232
Robin Tunney,9100
Samuel L. Jackson,20759
Sharon Stone,46063
Eileen Atkins,32513
Alice Krige,40651
Alec Baldwin,36915
Fred Williamson,40507
Sean Connery,9802
Jack Lemmon,25697
Rupert Everett,21588
Helen Hunt,664
Pamela Anderson,11867
Gérard Depardieu,47119
Atsuko Tanaka,9323
Robert John Burke,10280
Leslie Nielsen,10535
Om Puri,124613
Peter Sallis,532
John Garfield,26744
Tom Arnold,16299
Charlie Sheen,10547
Charles Laughton,245268
Peter Sellers,935
Kyle McCulloch,55613
George Thrush,215107
Vanessa Redgrave,41007
Christina Ricci,35645
Errol Flynn,110465
Leslie Cheung,40751
Dominique Horwitz,11101
Billy Zane,9826
Demi Moore,9879
Liv Tyler,22621
Robin Williams,7095
Lili Taylor,26890
Piper Laurie,46732
Tom Conti,124633
Papa Wemba,202425
Magaye Niang,77771
Brigitte Bardot,41225
Chris Cooper,87190
Ewan McGregor,627
Sarah Jessica Parker,32872
Will Smith,602
Liv Tyler,14553
Robert De Niro,9566
Tom Hulce,10545
Jim Carrey,9894
Woody Harrelson,11543
Arnold Schwarzenegger,9268
Eddie Murphy,9327
Assumpta Serna,123763
Kristin Scott Thomas,81949
Sami Frey,124306
Alex del Rosario,183955
Rosie Perez,44535
Robert McLane,44495
Jeanne Moreau,78285
Sylvester Stallone,11228
Michael J. Fox,10779
Chris Cooper,26748
Michelle Trachtenberg,38223
John Travolta,9294
Catherine Keener,49963
Edward Burns,11363
Matthew McConaughey,1645
Dustin Hoffman,31546
Clara Bellar,77056
Thora Birch,36344
Laurence Fishburne,18550
Gary Kemp,172198
Bill Murray,34170
Eric Roberts,109478
Sônia Braga,124645
Shelley Long,12606
Maurizio Nichetti,69895
Simone Signoret,35206
Patrick Bauchau,4837
André Eisermann,12632
Christoph M. Ohrt,9098
Catherine Deneuve,124614
Martin Landau,18975
Goldie Hawn,2925
Guillermo Díaz,28628
Mel Gibson,3595
Jon Lovitz,9308
Angelina Jolie,18555
Keanu Reeves,12123
Mara Wilson,10830
Gwyneth Paltrow,3573
Vincent Pérez,10546
Jamie Lee Curtis,18862
Pierre Brasseur,31417
Dennis Miller,9431
Paul Austin,46986
Alison Elliott,47907
Kurt Russell,10061
Le Van Loc,36266
Jeffrey Wright,549
Kevin Costner,10478
Colin Friels,66634
Kinuyo Tanaka,116690
Nathalie Baye,213917
Claudio Bigagli,145925
Marlon Brando,238
Til Schweiger,159
Jackie Chan,11134
Mary Kay Place,88224
Iain Robertson,42758
Jennifer Tilly,9303
Tom Arnold,23945
Sam Neill,37820
Jennifer Jason Leigh,22479
Joe Pesci,9054
Lee Kang-Sheng,11985
Ingrid Caven,10232
James Woods,59569
Michelle Yeoh,38955
Lili Taylor,110513
Sami Bouajila,114089
Penelope Ann Miller,11015
Marlon Brando,9306
Sinbad,12559
Kyle MacLachlan,58770
Michael Imperioli,124851
Whoopi Goldberg,3587
Damon Wayans,10723
Polly Walker,56077
Scott McAfee,19004
Victoria Abril,253632
Donald Pleasence,10987
Helena Bonham Carter,44705
Nick Nolte,20318
Paul Hörbiger,43596
Marcin Walewski,79782
Gaël Morel,26933
Gary Cooper,27854
Katharine Hepburn,981
Gene Kelly,872
Gene Kelly,2769
Audrey Hepburn,13320
Audrey Hepburn,164
James Stewart,426
James Stewart,567
Clark Gable,3078
Charles Boyer,13528
Fred Astaire,28288
Cary Grant,213
Jack Lemmon,284
Marilyn Monroe,239
Cary Grant,4808
Humphrey Bogart,289
Humphrey Bogart,963
Audrey Hepburn,11113
Humphrey Bogart,6620
Gregory Peck,804
Shirley Temple,26531
Judy Garland,909
Judy Garland,630
Vivien Leigh,770
William Holden,599
Orson Welles,15
Keir Dullea,62
Ray Milland,121357
Bette Davis,705
Norma Shearer,22490
Laurence Olivier,223
Joel McCrea,25670
Cary Grant,303
Ingrid Bergman,4174
Cary Grant,8356
Cary Grant,381
Spencer Tracy,20758
Fred Astaire,29376
Greta Garbo,1859
Gary Cooper,18299
Leslie Caron,17281
Rex Harrison,64382
Errol Flynn,10907
Tyrone Power,32093
Gene Tierney,1939
Gene Tierney,22292
Ronald Colman,3598
Fred Astaire,3080
Carole Lombard,198
William Powell,13562
Elizabeth Taylor,1712
James Dean,220
William Powell,3529
Cary Grant,3085
David Niven,2897
James Stewart,1585
James Stewart,3083
Katharine Hepburn,900
Irene Dunne,43795
Lillian Gish,85638
Barbara Stanwyck,50001
Leslie Howard,43905
Paul Muni,22688
Freddie Bartholomew,23114
John Garfield,26378
Danny Kaye,40206
John Wayne,22356
Robert Donat,260
Dana Andrews,43488
Jane Russell,22613
Duane Jones,10331
Humphrey Bogart,488
Humphrey Bogart,22733
Elizabeth Taylor,261
Elizabeth Taylor,57575
Barbara Stanwyck,32574
Charles Boyer,22657
James Cagney,76464
Helen Hayes,22649
Chester Morris,176841
Michelle Yeoh,39448
Ice Cube,52855
William Holden,39940
Bernard Hill,172868
Adrian Pasdar,85328
Jeff Daniels,11076
Illeana Douglas,58985
André Eisermann,890
Jean-Claude Van Damme,10861
Liam Neeson,1770
Clive Owen,44465
Matthew Broderick,2033
Stanley Tucci,18203
Bruce Willis,9333
Edward James Olmos,47260
Jada Pinkett Smith,9400
Danny Aiello,9401
Bruce Ramsay,12241
Michel Serrault,25739
Matt Ross,161806
Hugh Grant,11306
Steven Seagal,9625
Emilio Estevez,10680
Don Knotts,18660
Fess Parker,35115
Kim Richards,14821
Dean Jones,14136
Helen Hayes,10869
Dorothy McGuire,22660
Hayley Mills,19186
Hayley Mills,31102
Michael J. Fox,6878
Fred MacMurray,15944
John Mills,18444
Hayley Mills,20723
Kirk Douglas,173
Leon Robinson,864
Danny Glover,24795
Ilene Woods,11224
Sterling Holloway,15947
Sebastian Cabot,9078
Bobby Driscoll,29682
Kevin Costner,8367
Julie Andrews,433
Sean Marshall,11114
Angela Lansbury,12335
Kathryn Beaumont,12092
Mickey Rooney,10948
Kiefer Sutherland,11229
Julie Andrews,15121
Bruce Willis,562
Jeff Fahey,10163
Gena Rowlands,48862
Bob Hoskins,47199
Timothy Spall,11159
Tom Everett Scott,9591
Peter Gallagher,30500
Anthony Hopkins,41843
Angelina Jolie,55058
Linda Henry,10938
Geena Davis,11412
Michael Douglas,10586
Al Pacino,42314
Steve Buscemi,27845
Jeanne Moreau,108365
Ashley Judd,23223
Ossie Davis,49471
Charlie Sheen,38153
Kate Winslet,25147
Drew Barrymore,9716
Leonardo DiCaprio,454
Jon Favreau,10218
Robert De Niro,819
David Arquette,56830
Scott Weinger,11238
Jean Kent,27256
Fred Astaire,31530
Fred Astaire,66473
Robert Young,28120
Dick Powell,1834
Robert Mitchum,26282
Russell Crowe,37218
Gene Wilder,252
Jean-Henri Compère,116356
Deborah Kerr,16372
Woody Allen,11561
Woody Allen,11302
John Cleese,623
Graham Chapman,583
Julie Andrews,12614
Robert Redford,21711
Jack Lemmon,11575
Warren Beatty,475
Spencer Tracy,11331
Ray Milland,521
Jennifer Grey,88
Harvey Keitel,500
Tom Berenger,792
Andrew McCarthy,8491
Michael Douglas,402
Val Kilmer,10537
Stephen Rea,11386
Al Pacino,9504
Meryl Streep,15764
Henry Thomas,601
Holt McCallany,67365
Reginald Owen,25842
Tom Cruise,2119
Tom Cruise,744
Luke Perry,136311
James Dean,221
Vivien Leigh,702
Naomi Watts,25750
John Gielgud,17642
Boyan Milushev,146341
Jacques Perrin,9305
William Forsythe,37616
Whoopi Goldberg,11112
Christopher Walken,21612
Josh Feldman,141210
Virginie Ledoyen,102461
James Caan,200383
Richard Lewis,116844
Woody Harrelson,1630
Ben Affleck,26626
Oliver North,124837
Katharine Hepburn,11816
Peter Sellers,11843
Phoebe Cates,10379
Ed Harris,2756
Adrienne Barbeau,790
Kurt Russell,1103
Patrick Macnee,11298
Yves Montand,4480
Yves Montand,4481
Goldie Hawn,10765
Graham Chapman,762
Tony Ward,44497
Moira Kelly,99479
Marcello Mastroianni,55049
Warren Miller,79306
Muhammad Ali,10548
Peter Sallis,531
Gérard Depardieu,4483
Petr Čepek,18919
Richard Basehart,31556
Emilio Cigoli,61461
Michèle Morgan,117500
George Burns,218713
George Burns,217802
Charles Ruggles,127973
Mario Adorf,659
Romane Bohringer,86369
Joseph Gehrard,8074
Greg Kinnear,38554
Mariel Hemingway,49763
Jesse Jackson,41326
Phillip Rhee,36555
Tim Robbins,10608
Philippe Noiret,11216
Richard Bohringer,7452
Michel Blanc,64567
Dominique Pinon,892
Irène Jacob,1600
Josie Lawrence,26561
Kirk Douglas,975
Anjelica Huston,18129
Ned Beatty,54405
Ralph Fiennes,409
Diego Abatantuono,38251
Daniel Day-Lewis,10161
Andie MacDowell,1412
Mary McDonnell,41768
Paul Mercurio,10409
Victoria Abril,2469
Madonna,10174
Dorian Corey,31225
Jack Nicholson,510
Cheech Marin,11455
Mark Hamill,1891
Cary Elwes,2493
Harrison Ford,85
Jonathan Pryce,68
Sigourney Weaver,679
Eli Wallach,429
Richard E. Grant,13446
Henry Fonda,389
Malcolm McDowell,185
Gregory Peck,595
Martin Sheen,28
Henry Fonda,335
Mark Hamill,1892
Bruno Ganz,144
Joseph Cotten,1092
Robert De Niro,769
Tom Skerritt,348
Bruce Campbell,766
Jean-Marc Barr,175
Akira Terao,11645
Chow Yun-fat,10835
Anthony Perkins,539
Dan Aykroyd,525
Al Pacino,240
Matthew Modine,600
Peter Sallis,530
Kenneth Branagh,10705
F. Murray Abraham,279
John Wayne,3109
Robert De Niro,311
Robert De Niro,1578
Woody Allen,703
Fred Ward,9549
Aleksandr Kaydanovskiy,1398
Jürgen Prochnow,387
Paul Newman,9277
Ruth Gordon,343
Adrienne Shelly,37291
Max von Sydow,490
Burt Lancaster,11235
Arnold Schwarzenegger,218
Tim Balme,763
Matthew Broderick,9665
Gary Oldman,18971
Woody Allen,696
John Turturro,379
Robin Williams,207
Dustin Hoffman,37247
Charlton Heston,1480
Anne Parillaud,9322
William Holden,826
Marcello Mastroianni,422
Jack Nicholson,829
Michael Rennie,828
Humphrey Bogart,3090
Terry Potter,9964
Groucho Marx,3063
John Cusack,13667
Jack Nicholson,694
Wil Wheaton,235
Peter Lorre,832
Bruce Campbell,765
Steve McQueen,5925
Robert De Niro,11778
Frédéric Andréi,4485
Bill Murray,137
Clint Eastwood,33
Frank Sinatra,982
Christian Slater,8428
Cary Grant,212
Michael J. Fox,105
Kathy Bates,1633
George C. Scott,11202
Tom Waits,1554
Mitsuo Iwata,149
Christopher Lambert,8009
Paul Newman,903
Gérard Depardieu,11673
Gene Wilder,3034
Winona Ryder,339
Gong Li,10404
Charlie Chaplin,914
Gary Cooper,288
Humphrey Bogart,910
Winona Ryder,2640
Christopher Reeve,16633
Charlton Heston,665
Christopher Guest,11031
Lou Dobbs,11314
Eric Stoltz,15143
Harrison Ford,89
Peter Sellers,10322
Ben Kingsley,783
Daniel Day-Lewis,10644
Maggie Smith,11257
Val Kilmer,14370
Christine Hargreaves,12104
Sam Waterston,625
Anton Glanzelius,8816
Walter Pidgeon,830
Kevin Costner,2323
Sean Connery,983
Paul Newman,642
Harry Dean Stanton,655
William Hurt,10341
Meg Ryan,639
Gabriel Mann,168450
Hulk Hogan,31388
Tilda Swinton,41801
Richard Dreyfuss,66034
Susan Floyd,348138
Walter Matthau,61536
Sean Pertwee,18762
Sigourney Weaver,8077
David Naughton,814
Tony Roberts,27214
Robin Thomas,52263
Ross Partridge,33519
James Olson,16235
James Brolin,11449
Kim Coates,41848
Udo Kier,25944
Deborah Foreman,24913
Anthony Hopkins,49126
Martin Sheen,32076
Tippi Hedren,571
Steve McQueen,8851
David Huffman,37843
Jeff Fahey,32146
Boris Karloff,30346
Gary Oldman,6114
Boris Karloff,229
Karen Black,13549
Virginia Madsen,9529
Robert De Niro,1598
Gregory Peck,11349
Sissy Spacek,7340
Nastassja Kinski,6217
John Saxon,377
Max Schreck,653
Klaus Kinski,28198
Gregory Peck,794
Jack Nicholson,31640
Matt Dillon,8744
Barbra Streisand,25189
Emily Watson,145
Ewan McGregor,2212
Patrick Stewart,199
Geoffrey Rush,7863
Billy Bob Thornton,12498
Arnold Schwarzenegger,9279
Tomás Milián,53234
Joe Berlinger,17204
Denzel Washington,21539
Stellan Skarsgård,85589
Charles Berling,12709
Daniel Day-Lewis,20539
Glenn Close,11674
Bruce Willis,1573
William Shatner,152
William Shatner,174
William Shatner,172
William Shatner,154
William Shatner,157
William Shatner,168
Michael Keaton,364
Emilio Estevez,11967
Emilio Estevez,9086
John Travolta,621
Maxwell Caulfield,9037
Steven Seagal,10173
Christopher Lambert,55687
Tony Goldwyn,168535
Steven Seagal,8845
